,appid,average_playtime,median_playtime,standard_deviation
4082,329490,121.0,130.0,0.0
4083,329610,21.0,21.0,0.0
4084,329620,0.0,0.0,0.0
4085,329630,0.0,0.0,0.0
4086,329640,0.2,0.2,0.0
4087,329650,6.0,6.0,0.0
4088,329660,0.0,0.0,0.0
4089,329670,0.0,0.0,0.0
4090,329680,0.0,0.0,0.0
4091,329690,0.0,0.0,0.0
4092,329770,161.0,161.0,0.0
4093,329830,0.6,0.6,0.0
4094,329860,1518.0,1518.0,0.0
4095,329890,0.0,0.0,0.0
4096,329970,0.0,0.0,0.0
4097,329980,0.0,0.0,0.0
4098,330100,0.0,0.0,0.0
4099,330180,247.0,247.0,0.0
4100,330270,41.0,66.0,0.0
4101,330350,116.0,137.0,2.49
4102,330370,0.0,0.0,0.0
4103,330390,225.0,225.0,0.0
4104,330420,0.0,0.0,0.0
4105,330450,0.0,0.0,0.0
4106,330460,0.0,0.0,0.0
4107,330470,0.0,0.0,0.0
4108,330500,0.0,0.0,0.0
4109,330520,0.0,0.0,0.0
4110,330570,0.0,0.0,0.0
4111,330580,2.2,2.2,0.0
4112,330590,0.0,0.0,0.0
4113,330620,593.0,593.0,0.0
4114,330660,0.0,0.0,0.0
4115,330670,0.0,0.0,0.0
4116,330680,0.0,0.0,0.0
4117,330720,0.0,0.0,0.0
4118,330770,0.0,0.0,0.0
4119,330820,326.0,326.0,0.0
4120,330830,524.0,518.0,8.63
4121,330880,0.0,0.0,0.0
4122,330990,248.0,283.0,0.0
4123,331120,1.0,1.0,0.14
4124,331160,0.0,0.0,0.0
4125,331190,13.0,13.0,0.0
4126,331200,0.0,0.0,0.0
4127,331210,0.0,0.0,0.0
4128,331220,182.0,182.0,0.0
4129,331290,0.0,0.0,0.0
4130,331340,127.0,127.0,0.0
4131,331360,46.0,20.0,0.0
4132,331390,1262.0,1262.0,0.0
4133,331400,74.0,74.0,0.0
4134,331440,113.0,113.0,0.65
4135,331450,0.0,0.0,0.0
4136,331460,0.0,0.0,0.0
4137,331470,249.0,98.0,9.55
4138,331480,449.0,449.0,0.0
4139,331500,363.0,363.0,0.0
4140,331510,0.0,0.0,0.0
4141,331570,0.0,0.0,0.0
4142,331580,0.0,0.0,0.0
4143,331600,311.0,440.0,0.0
4144,331650,0.0,0.0,0.0
4145,331670,30.0,30.0,150.83
4146,331690,257.0,257.0,0.0
4147,331720,0.0,0.0,0.0
4148,331750,0.0,0.0,0.0
4149,331760,0.0,0.0,0.0
4150,331790,222.0,234.0,0.0
4151,331870,73.0,119.0,0.0
4152,331880,0.0,0.0,0.0
4153,331910,0.0,0.0,0.0
4154,331920,0.6,0.6,0.0
4155,331970,0.0,0.0,0.0
4156,331980,222.0,222.0,0.0
4157,332070,272.0,54.0,0.0
4158,332150,0.0,0.0,0.0
4159,332200,377.0,492.0,6.88
4160,332250,0.0,0.0,0.0
4161,332260,0.0,0.0,0.0
4162,332270,0.0,0.0,0.0
4163,332310,723.0,783.0,0.0
4164,332330,0.0,0.0,0.0
4165,332360,2.5,2.5,0.0
4166,332370,0.0,0.0,0.0
4167,332380,0.0,0.0,0.0
4168,332390,0.0,0.0,0.0
4169,332400,0.0,0.0,0.0
4170,332410,0.0,0.0,0.0
4171,332480,333.0,395.0,1.5
4172,332490,0.0,0.0,0.0
4173,332500,509.0,853.0,22.3
4174,332530,0.0,0.0,0.0
4175,332540,0.0,0.0,0.0
4176,332570,646.0,757.0,0.0
4177,332580,0.0,0.0,0.0
4178,332610,0.0,0.0,0.0
4179,332620,0.0,0.0,0.0
4180,332630,0.0,0.0,0.0
4181,332650,11.0,11.0,0.0
4182,332700,263.0,269.0,0.0
4183,332710,55.0,55.0,0.0
4184,332730,0.0,0.0,0.0
4185,332760,0.0,0.0,0.0
4186,332780,210.0,215.0,0.0
4187,332790,276.0,275.0,0.0
4188,332800,171.0,118.0,3.11
4189,332810,0.0,0.0,0.0
4190,332830,0.0,0.0,0.0
4191,332880,0.0,0.0,0.0
4192,332950,24.0,34.0,0.0
4193,333100,0.0,0.0,0.0
4194,333120,239.0,249.0,0.0
4195,333130,0.0,0.0,0.0
4196,333210,67.0,67.0,0.0
4197,333220,415.0,415.0,0.0
4198,333250,453.0,453.0,0.0
4199,333260,5.0,5.0,0.0
4200,333290,0.0,0.0,0.0
4201,333300,871.0,871.0,0.0
4202,333330,0.0,0.0,0.0
4203,333340,0.0,0.0,0.0
4204,333350,0.0,0.0,0.0
4205,333380,0.0,0.0,0.0
4206,333390,0.0,0.0,0.0
4207,333420,596.0,638.0,0.0
4208,333430,0.0,0.0,0.0
4209,333490,286.0,286.0,0.0
4210,333510,359.0,359.0,0.0
4211,333540,42.0,83.0,0.0
4212,333580,0.0,0.0,0.0
4213,333600,526.0,284.0,4.53
4214,333640,171.0,219.0,0.0
4215,333650,0.0,0.0,0.0
4216,333660,2.0,2.0,0.0
4217,333730,0.0,0.0,0.0
4218,333760,3.0,3.0,0.0
4219,333870,0.0,0.0,0.0
4220,333880,0.0,0.0,0.0
4221,333930,715.0,73.0,0.0
4222,333950,11517.0,11438.0,3.74
4223,333970,0.0,0.0,0.0
4224,333980,409.0,591.0,0.0
