,appid,average_playtime,median_playtime,standard_deviation
0,10,17612.0,317.0,617.95
1,20,277.0,62.0,1.13
2,30,187.0,34.0,45.92
3,40,258.0,184.0,1.63
4,50,624.0,415.0,0.0
5,60,175.0,10.0,2.85
6,70,1300.0,83.0,9.87
7,80,427.0,43.0,0.0
8,130,361.0,205.0,0.0
9,220,691.0,402.0,14.8
10,240,6842.0,400.0,0.0
11,280,190.0,214.0,0.0
12,300,1356.0,134.0,0.0
13,320,311.0,32.0,0.0
14,340,46.0,29.0,0.0
15,360,102.0,81.0,0.0
16,380,281.0,184.0,0.0
17,400,288.0,137.0,8.63
18,420,354.0,301.0,0.0
19,440,8495.0,623.0,310.0
20,500,897.0,278.0,107.22
21,550,1615.0,566.0,147.6
22,570,23944.0,801.0,600.49
23,620,1102.0,520.0,46.92
24,630,371.0,83.0,8.65
25,730,22494.0,6502.0,0.0
26,1002,0.475,0.35,0.39
27,1200,232.0,258.0,0.0
28,1250,1328.0,306.0,128.15
29,1300,0.0,0.0,0.0
30,1500,182.0,273.0,3.17
31,1510,65.0,77.0,8.06
32,1520,80.0,119.0,2.1
33,1530,121.0,224.0,5.26
34,1600,0.5,0.5,0.0
35,1610,10.666666666666666,6.9,10.51
36,1630,0.0,0.0,0.0
37,1640,9.0,12.0,0.0
38,1670,0.0,0.0,0.0
39,1690,35.0,35.0,0.0
40,1700,11.0,21.0,21.37
41,1840,239.0,77.0,44.07
42,1900,405.0,414.0,8.26
43,1930,484.0,422.0,11.26
44,2100,634.0,700.0,0.0
45,2200,123.0,103.0,5.01
46,2210,36.0,32.0,0.0
47,2270,69.0,110.0,0.05
48,2280,125.0,179.0,0.0
49,2290,120.0,114.0,0.52
50,2300,90.0,78.0,0.0
51,2310,167.0,189.0,0.0
52,2320,291.0,349.0,0.0
53,2330,32.0,32.0,0.0
54,2340,1.0,1.0,0.0
55,2350,0.0,0.0,0.0
56,2360,50.0,50.0,0.0
57,2370,0.0,0.0,0.0
58,2390,0.0,0.0,0.0
59,2400,233.0,239.0,0.0
60,2450,193.0,193.0,10.94
61,2500,186.0,258.0,11.1
62,2520,0.0,0.0,0.0
63,2590,0.5666666666666668,0.5,0.17
64,2600,350.0,202.0,0.0
65,2610,462.0,889.0,0.0
66,2620,545.0,849.0,0.0
67,2630,750.0,1041.0,0.0
68,2640,0.0,0.0,0.0
69,2710,0.0,0.0,0.0
70,2720,0.0,0.0,0.0
71,2780,0.0,0.0,0.0
72,2800,732.0,732.0,0.0
73,2810,831.0,1232.0,0.0
74,2820,972.0,1273.0,0.0
75,2840,648.0,648.0,0.0
76,2850,13.0,13.0,0.0
77,2870,1744.0,3386.0,80.24
78,2900,0.0,0.0,0.0
79,2910,0.0,0.0,0.0
80,2920,0.0,0.0,0.0
81,2990,293.0,351.0,0.0
82,3010,939.0,939.0,0.0
83,3020,46.0,60.0,0.0
84,3050,4.1,4.1,0.0
85,3130,0.0,0.0,0.0
86,3170,1422.0,1429.0,0.0
87,3230,1.5,0.3,1.77
88,3260,1.0,1.0,0.0
89,3270,270.0,270.0,0.15
90,3330,267.0,267.0,0.0
91,3410,0.0,0.0,0.0
92,3480,214.0,254.0,5.51
93,3483,1.0,1.0,5.19
94,3490,0.0,0.0,0.0
95,3500,0.0,0.0,0.0
96,3510,0.0,0.0,0.0
97,3520,0.0,0.0,0.0
98,3530,12.0,12.0,0.0
99,3540,237.0,237.0,0.0
100,3560,0.0,0.0,0.0
101,3570,0.0,0.0,0.0
102,3580,0.0,0.0,0.0
103,3590,480.0,374.0,0.0
104,3600,3.1,3.1,1.1
105,3610,0.0,0.0,0.0
106,3620,0.0,0.0,0.0
107,3700,262.0,371.0,70.51
108,3710,8.0,8.0,0.0
109,3720,287.0,318.0,14.16
110,3730,20.0,24.0,1.28
111,3800,0.0,0.0,0.0
112,3810,111.0,111.0,0.0
113,3820,771.0,771.0,1.0
114,3830,491.0,232.0,7.72
115,3900,49.0,64.0,0.0
116,3910,1166.0,13.0,0.0
117,3920,296.0,436.0,7.95
118,3960,116.0,116.0,0.0
119,3980,0.0,0.0,0.0
120,3990,0.0,0.0,0.0
121,4000,12422.0,1875.0,209.0
122,4100,0.0,0.0,0.0
123,4230,0.0,0.0,0.0
124,4290,0.0,0.0,0.0
125,4300,78.0,78.0,0.0
126,4420,2.2,2.2,0.0
127,4460,3.1,3.1,0.0
128,4470,0.0,0.0,0.0
129,4500,493.0,360.0,0.0
130,4520,124.0,244.0,6.3
131,4530,1.0,1.0,0.0
132,4560,175.0,186.0,0.0
133,4570,309.0,340.0,0.0
134,4580,543.0,620.0,0.0
135,4700,469.0,361.0,0.0
136,4720,312.0,312.0,0.0
137,4760,897.0,1192.0,0.0
138,4770,33.0,33.0,0.0
139,4780,0.0,0.0,0.0
140,4800,0.0,0.0,0.0
141,4850,1134.0,1208.0,0.0
142,4870,0.0,0.0,0.0
143,4880,1.0,1.0,0.0
144,4890,71.0,71.0,0.0
145,4900,0.0,0.0,0.0
146,4920,627.0,253.0,146.23
147,6000,369.0,265.0,0.0
148,6010,419.0,804.0,0.0
149,6020,1254.0,174.0,0.0
150,6030,127.0,180.0,0.0
151,6040,801.0,801.0,0.0
152,6060,618.0,320.0,0.0
153,6080,17.0,17.0,0.0
154,6090,100.0,100.0,0.0
155,6120,255.0,363.0,3.64
156,6200,21.0,21.0,0.0
157,6210,0.0,0.0,0.0
158,6220,78.0,96.0,1.22
159,6250,0.0,0.0,0.0
160,6270,0.0,0.0,0.0
161,6300,20.0,20.0,0.0
162,6310,14.0,19.0,4.15
163,6370,70.0,102.0,27.3
164,6400,0.0,0.0,0.0
165,6420,0.0,0.0,0.0
166,6510,74.0,74.0,0.0
167,6550,90.0,90.0,0.0
168,6800,63.0,70.0,0.0
169,6810,12.0,14.0,0.0
170,6830,201.0,302.0,0.0
171,6840,14.0,20.0,0.0
172,6850,63.0,58.0,0.0
173,6860,435.0,365.0,0.0
174,6870,0.0,0.0,0.0
175,6880,20.0,25.0,7.3
176,6900,62.0,43.0,0.0
177,6910,324.0,245.0,0.0
178,6920,24.0,31.0,0.0
179,6980,254.0,368.0,0.0
180,7000,714.0,725.0,0.0
181,7010,0.0,0.0,0.0
182,7020,5.3,5.3,0.0
183,7110,0.0,0.0,0.0
184,7200,4774.0,4774.0,0.0
185,7210,14.0,14.0,0.0
186,7220,0.0,0.0,0.0
187,7260,0.0,0.0,0.0
188,7340,0.0,0.0,0.0
189,7510,313.0,341.0,1.92
190,7520,327.0,403.0,0.0
191,7530,320.0,330.0,2.14
192,7600,165.0,253.0,11.69
193,7610,46.0,46.0,3.68
194,7620,1244.0,1261.0,0.0
195,7650,66.0,82.0,0.0
196,7660,18.0,18.0,0.0
197,7730,0.0,0.0,0.0
198,7760,2235.0,2224.0,0.0
199,7770,0.0,0.0,0.0
200,7830,0.0,0.0,0.0
201,7840,0.0,0.0,0.0
202,7860,113.0,113.0,0.0
203,7940,1417.0,1503.0,0.0
204,8000,239.0,280.0,0.0
205,8080,209.0,209.0,0.0
206,8100,0.0,0.0,0.0
207,8140,313.0,565.0,0.0
208,8170,132.0,132.0,26.79
209,8190,519.0,272.0,41.84
210,8310,0.0,0.0,0.0
211,8320,0.0,0.0,0.0
212,8330,0.0,0.0,0.0
213,8340,0.0,0.0,0.0
214,8400,109.0,109.0,0.0
215,8500,5123.0,230.0,35.82
216,8600,1636.0,218.0,24.12
217,8790,0.0,0.0,0.0
218,8800,108.0,108.0,0.0
219,8870,614.0,519.0,29.01
220,8880,16.0,16.0,1.78
221,8890,23.0,23.0,0.0
222,8930,4760.0,1797.0,0.0
223,8970,0.0,0.0,0.0
224,9000,0.0,0.0,0.0
225,9010,32.0,48.0,59.81
226,9030,88.0,91.0,0.0
227,9040,129.0,152.0,0.0
228,9050,362.0,394.0,5.64
229,9060,10.0,10.0,1.07
230,9160,7.0,12.0,0.0
231,9180,145.0,145.0,0.0
232,9200,559.0,392.0,35.2
233,9310,213.0,365.0,0.0
234,9340,79.0,106.0,0.0
235,9350,306.0,306.0,26.63
236,9420,803.0,1067.0,0.0
237,9450,1433.0,1629.0,0.0
238,9460,154.0,154.0,0.0
239,9480,322.0,81.0,52.78
240,9500,23.0,23.0,0.87
241,9710,0.0,0.0,0.0
242,9760,0.0,0.0,0.0
243,9800,64.0,84.0,0.0
244,9850,0.0,0.0,0.0
245,9880,12952.0,724.0,70.14
246,9900,2514.0,638.0,132.96
247,9940,222.0,360.0,0.0
248,9960,0.0,0.0,0.0
249,9970,0.0,0.0,0.0
250,9980,23.0,23.0,0.0
251,10090,2331.0,1108.0,0.0
252,10100,10.0,19.0,0.0
253,10110,10.0,10.0,0.0
254,10120,0.0,0.0,0.0
255,10130,0.0,0.0,0.0
256,10140,0.0,0.0,0.0
257,10150,645.0,1001.0,0.0
258,10180,999.0,580.0,0.0
259,10220,411.0,411.0,0.0
260,10230,0.9,0.9,0.0
261,10240,0.0,0.0,0.0
262,10250,0.0,0.0,0.0
263,10260,0.0,0.0,0.0
264,10270,889.0,889.0,0.0
265,10460,0.0,0.0,0.0
266,10500,3176.0,1385.0,0.0
267,10680,170.0,168.0,0.0
268,11020,902.0,87.0,0.0
269,11040,0.0,0.0,0.0
270,11050,1.6,1.6,0.0
271,11130,0.0,0.0,0.0
272,11140,0.0,0.0,0.0
273,11150,0.0,0.0,0.0
274,11190,12.600000000000001,12.600000000000001,1.3
275,11200,355.0,374.0,1.67
276,11230,46.0,49.0,0.0
277,11240,15.0,15.0,0.0
278,11250,1.8,1.8,0.0
279,11260,0.3,0.3,0.0
280,11280,91.0,97.0,0.0
281,11330,41.0,69.0,2.48
282,11340,76.0,108.0,0.05
283,11360,36.0,36.0,2.7
284,11450,304.0,304.0,0.0
285,11480,0.0,0.0,0.0
286,11560,0.0,0.0,0.0
287,11590,119.0,176.0,1.0
288,12100,98.0,63.0,4.9
289,12110,209.0,93.0,0.0
290,12120,807.0,249.0,0.0
291,12130,99.0,101.0,0.0
292,12140,316.0,316.0,8.28
293,12150,175.0,175.0,0.0
294,12170,7.0,7.0,0.31
295,12180,3.0,4.0,5.36
296,12200,319.0,225.0,0.0
297,12210,1255.0,634.0,30.65
298,12220,508.0,112.0,0.0
299,12310,0.0,0.0,0.0
300,12320,337.0,404.0,2.83
301,12330,0.0,0.0,0.0
302,12340,2.2,2.2,0.0
303,12360,37.0,71.0,0.0
304,12390,0.0,0.0,0.0
305,12420,0.0,0.0,0.0
306,12430,2.0,2.0,0.0
307,12440,0.0,0.0,0.0
308,12450,0.0,0.0,0.0
309,12460,0.0,0.0,0.0
310,12470,203.0,203.0,40.05
311,12480,0.0,0.0,0.0
312,12500,52.0,52.0,0.0
313,12510,0.0,0.0,0.0
314,12520,0.0,0.0,0.0
315,12530,0.0,0.0,0.0
316,12540,0.0,0.0,0.0
317,12560,0.3,0.3,0.0
318,12590,0.0,0.0,0.0
319,12600,0.0,0.0,0.0
320,12640,69.45,69.45,49.55
321,12670,0.0,0.0,0.0
322,12710,446.0,256.0,0.0
323,12770,88.0,147.0,0.0
324,12790,0.2,0.2,0.0
325,12810,197.0,119.0,15.04
326,12830,413.0,417.0,0.0
327,13000,121.0,121.0,0.0
328,13140,12.0,13.0,23.25
329,13200,682.0,682.0,0.0
330,13210,542.0,239.0,0.0
331,13230,414.0,496.0,0.0
332,13240,565.0,924.0,0.0
333,13250,67.0,41.0,3.86
334,13500,307.0,312.0,0.0
335,13520,126.0,229.0,0.0
336,13530,205.0,205.0,0.0
337,13540,0.0,0.0,0.0
338,13560,28.0,28.0,0.0
339,13570,22.0,22.0,0.0
340,13580,0.0,0.0,0.0
341,13600,167.0,167.0,0.0
342,13620,2.0,2.0,0.0
343,15000,20.0,20.0,0.0
344,15080,29.0,29.0,0.0
345,15100,360.0,476.0,0.0
346,15120,1349.0,1936.0,0.0
347,15130,355.0,448.0,0.0
348,15160,0.0,0.0,0.0
349,15170,396.0,396.0,15.07
350,15190,69.0,69.0,0.0
351,15200,134.0,134.0,0.0
352,15210,0.0,0.0,0.0
353,15240,0.0,0.0,0.0
354,15270,0.0,0.0,0.0
355,15300,476.0,476.0,0.0
356,15320,1812.0,1812.0,0.0
357,15370,6679.0,6679.0,0.0
358,15380,19.0,19.0,0.0
359,15390,346.0,346.0,0.0
360,15400,0.0,0.0,0.0
361,15500,3.78,2.7,3.71
362,15520,151.0,151.0,6.07
363,15560,136.0,136.0,0.83
364,15620,628.0,293.0,0.0
365,15700,387.0,217.0,0.0
366,15710,67.0,67.0,0.0
367,15740,3.0,3.0,0.0
368,15750,98.0,98.0,0.0
369,15800,0.0,0.0,0.0
370,15900,0.0,0.0,0.0
371,15910,0.0,0.0,0.0
372,15920,0.0,0.0,0.0
373,15930,102.0,102.0,0.0
374,15960,1.4,1.4,0.0
375,15970,0.0,0.0,0.0
376,16000,0.0,0.0,0.0
377,16020,0.0,0.0,0.0
378,16030,0.0,0.0,0.0
379,16040,0.0,0.0,0.0
380,16060,0.2,0.2,0.0
381,16100,0.0,0.0,0.0
382,16110,0.0,0.0,0.0
383,16120,0.0,0.0,0.0
384,16130,0.0,0.0,0.0
385,16180,0.0,0.0,0.0
386,16200,0.0,0.0,0.0
387,16450,301.0,367.0,0.0
388,16500,0.0,0.0,0.0
389,16600,382.0,382.0,0.0
390,16620,0.0,0.0,0.0
391,16710,264.0,265.0,0.0
392,16720,9.0,10.0,2.16
393,16730,90.0,90.0,1.14
394,16810,1.0,1.0,0.0
395,16900,0.0,0.0,0.0
396,17080,128.0,75.0,0.0
397,17100,0.0,0.0,0.0
398,17120,0.0,0.0,0.0
399,17140,0.0,0.0,0.0
400,17180,0.0,0.0,0.0
401,17300,313.0,105.0,8.85
402,17330,18.0,29.0,0.0
403,17390,1142.0,764.0,0.0
404,17410,260.0,172.0,0.0
405,17430,916.0,1046.0,11.52
406,17440,171.0,240.0,0.0
407,17450,2061.0,2889.0,0.0
408,17460,612.0,633.0,112.26
409,17470,295.0,178.0,7.48
410,17480,575.0,395.0,0.0
411,17500,948.0,86.0,0.0
412,17570,117.0,197.0,0.0
413,17710,971.0,1184.0,12.99
414,17740,701.0,1378.0,0.0
415,18000,7.0,7.0,0.0
416,18020,0.0,0.0,0.0
417,18040,1008.0,1008.0,2.69
418,18050,0.0,0.0,0.0
419,18070,14.0,14.0,3.96
420,18120,37.0,37.0,0.3
421,18300,126.0,126.0,10.14
422,18400,66.0,66.0,5.15
423,18420,1.3,1.5,0.83
424,18470,0.0,0.0,0.0
425,18480,1.0,1.0,0.0
426,18500,455.0,686.0,0.0
427,18600,0.0,0.0,0.0
428,18700,17.0,22.0,1.91
429,18820,373.0,373.0,1.1
430,19000,58.0,73.0,1.21
431,19020,0.9,0.9,0.0
432,19030,0.0,0.0,0.0
433,19080,0.0,0.0,0.0
434,19200,39.0,63.0,0.29
435,19320,0.0,0.0,0.0
436,19500,9.0,9.0,0.0
437,19800,164.0,164.0,0.0
438,19830,43.0,61.0,0.0
439,19900,257.0,229.0,0.0
440,19980,305.0,399.0,0.0
441,20200,0.0,0.0,0.0
442,20510,716.0,779.0,0.0
443,20530,79.0,107.0,1.73
444,20540,226.0,133.0,0.0
445,20550,4.466666666666667,2.7,3.08
446,20570,186.0,249.0,0.0
447,20700,12.0,12.0,0.0
448,20710,14.0,14.0,0.0
449,20820,31.0,51.0,2.69
450,20900,773.0,335.0,0.0
451,20920,838.0,320.0,0.0
452,21000,490.0,716.0,0.0
453,21010,0.0,0.0,0.0
454,21030,0.0,0.0,0.0
455,21090,389.0,498.0,7.84
456,21100,310.0,298.0,9.54
457,21130,518.0,989.0,0.0
458,21300,0.0,0.0,0.0
459,21400,0.0,0.0,0.0
460,21500,0.0,0.0,0.0
461,21640,0.0,0.0,0.0
462,21660,0.0,0.0,0.0
463,21670,20.0,30.0,0.0
464,21680,15.0,16.0,0.0
465,21690,868.0,532.0,0.0
466,21780,0.0,0.0,0.0
467,21800,384.0,655.0,0.0
468,21980,13.0,13.0,0.0
469,22000,194.0,277.0,3.52
470,22100,415.0,597.0,41.04
471,22120,188.0,189.0,0.0
472,22130,0.0,0.0,0.0
473,22180,37.0,43.0,2.41
474,22200,307.0,307.0,1.67
475,22230,235.0,231.0,1.88
476,22300,588.0,617.0,29.11
477,22310,29.0,29.0,0.0
478,22320,1135.0,1183.0,0.0
479,22330,1307.0,630.0,0.0
480,22350,181.0,99.0,7.92
481,22370,1242.0,1076.0,0.0
482,22380,2485.0,1431.0,0.0
483,22450,28.0,28.0,0.0
484,22500,0.0,0.0,0.0
485,22600,327.0,420.0,14.67
486,22610,7.0,7.0,0.0
487,22650,96.0,96.0,0.0
488,22670,1.0,1.0,0.0
489,23150,0.0,0.0,0.0
490,23300,0.0,0.0,0.0
491,23380,73.0,73.0,0.0
492,23400,102.0,102.0,9.12
493,23420,4975.0,4975.0,0.0
494,23450,319.0,319.0,0.0
495,23460,0.0,0.0,0.0
496,23490,291.0,425.0,0.0
497,23500,0.0,0.0,0.0
498,23530,253.0,380.0,0.0
499,23600,0.2,0.2,0.0
500,23700,175.0,175.0,0.0
501,24010,287.0,385.0,0.0
502,24200,2990.0,3851.0,0.0
503,24240,444.0,248.0,0.0
504,24400,6.0,6.0,4.89
505,24410,0.0,0.0,0.0
506,24420,48.0,64.0,9.68
507,24460,13.0,13.0,0.0
508,24480,46.0,46.0,0.0
509,24640,0.0,0.0,0.0
510,24650,0.0,0.0,0.0
511,24670,31.0,31.0,0.0
512,24720,1905.0,2286.0,0.0
513,24740,431.0,576.0,0.0
514,24780,228.0,289.0,0.0
515,24790,646.0,693.0,0.0
516,24800,136.0,205.0,0.0
517,24810,0.0,0.0,0.0
518,24840,28.0,28.0,0.0
519,24870,339.0,456.0,0.0
520,24960,1200.0,671.0,0.0
521,24980,1087.0,736.0,58.65
522,25000,777.0,1365.0,3.88
523,25010,13.0,13.0,0.0
524,25500,19.2,19.2,18.8
525,25600,0.0,0.0,0.0
526,25620,0.0,0.0,0.0
527,25700,54.0,54.0,0.0
528,25800,736.0,1065.0,0.0
529,25830,35.0,35.0,53.05
530,25850,27.0,27.0,6.16
531,25890,809.0,1364.0,188.11
532,25900,356.0,368.0,0.0
533,25910,400.0,400.0,0.5
534,25930,50.0,50.0,0.0
535,25980,32.620000000000005,37.0,19.43
536,25990,72.0,72.0,0.0
537,26000,14.0,14.0,8.48
538,26300,0.0,0.0,0.0
539,26800,178.0,251.0,2.9
540,26900,20.0,26.0,0.29
541,27000,49.0,64.0,1.95
542,27020,0.2,0.2,0.0
543,27050,0.0,0.0,0.0
544,27200,0.0,0.0,0.0
545,27330,129.0,193.0,0.0
546,27400,105.0,105.0,0.0
547,27600,0.0,0.0,0.0
548,27800,0.0,0.0,0.0
549,27810,9.0,9.0,0.0
550,27900,0.6,0.6,0.0
551,27920,10.0,10.0,0.45
552,27940,82.0,82.0,0.72
553,28000,282.0,301.0,0.0
554,29120,0.0,0.0,0.0
555,29130,0.0,0.0,0.0
556,29160,9.0,9.0,0.0
557,29180,27.0,27.0,2.37
558,29800,120.0,160.0,1.16
559,29900,0.0,0.0,0.0
560,31270,69.0,110.0,2.38
561,31300,0.0,0.0,0.0
562,31800,0.0,0.0,0.0
563,31810,0.0,0.0,0.0
564,31820,0.0,0.0,0.0
565,31830,0.0,0.0,0.0
566,31840,0.0,0.0,0.0
567,31850,0.0,0.0,0.0
568,31860,0.0,0.0,0.0
569,31870,0.0,0.0,0.0
570,31880,0.0,0.0,0.0
571,31890,0.0,0.0,0.0
572,31900,0.0,0.0,0.0
573,31910,0.0,0.0,0.0
574,31920,0.0,0.0,0.0
575,31930,0.0,0.0,0.0
576,31980,0.0,0.0,0.0
577,32000,0.0,0.0,0.0
578,32110,0.0,0.0,0.0
579,32120,0.0,0.0,0.0
580,32140,0.0,0.0,0.0
581,32150,0.0,0.0,0.0
582,32160,0.0,0.0,0.0
583,32200,91.0,173.0,0.0
584,32310,97.0,194.0,0.0
585,32330,0.0,0.0,0.0
586,32340,14.0,28.0,0.0
587,32350,6.0,8.0,0.0
588,32360,58.0,94.0,0.0
589,32370,660.0,400.0,0.0
590,32380,141.0,221.0,0.0
591,32390,30.0,30.0,0.0
592,32400,99.0,101.0,0.0
593,32410,0.0,0.0,0.0
594,32420,2.0,2.0,0.0
595,32430,195.0,175.0,0.0
596,32440,243.0,266.0,0.0
597,32450,0.0,0.0,0.0
598,32460,0.0,0.0,0.0
599,32470,395.0,219.0,0.0
600,32500,249.0,365.0,0.0
601,32510,196.0,294.0,0.0
602,32610,0.0,0.0,0.0
603,32620,0.0,0.0,0.0
604,32630,3.3,3.3,0.0
605,32640,0.0,0.0,0.0
606,32650,0.0,0.0,0.0
607,32660,0.0,0.0,0.0
608,32670,0.0,0.0,0.0
609,32680,0.0,0.0,0.0
610,32710,0.0,0.0,0.0
611,32720,0.0,0.0,0.0
612,32730,0.0,0.0,0.0
613,32740,0.0,0.0,0.0
614,32750,22.0,22.0,0.0
615,32760,0.0,0.0,0.0
616,32770,0.0,0.0,0.0
617,32900,23.6,23.6,20.4
618,33100,0.0,0.0,0.0
619,33110,0.0,0.0,0.0
620,33120,169.0,169.0,0.0
621,33130,137.0,137.0,0.0
622,33180,247.0,247.0,4.08
623,33230,1046.0,1323.0,0.0
624,33320,328.0,328.0,0.0
625,33390,0.0,0.0,0.0
626,33460,358.0,399.0,15.82
627,33520,0.0,0.0,0.0
628,33570,149.0,149.0,0.05
629,33600,1330.0,1428.0,0.0
630,33610,9.0,9.0,0.0
631,33620,0.0,0.0,0.0
632,33650,0.0,0.0,0.0
633,33660,0.0,0.0,0.0
634,33670,2486.0,2486.0,0.0
635,33680,466.0,466.0,0.0
636,33760,0.0,0.0,0.0
637,33770,0.0,0.0,0.0
638,33790,0.0,0.0,0.0
639,33900,752.0,1263.0,13.98
640,33930,8488.0,1120.0,0.0
641,33950,0.0,0.0,0.0
642,33980,0.8,0.8,0.0
643,33990,0.0,0.0,0.0
644,34010,267.0,214.0,0.0
645,34030,1251.0,1534.0,0.0
646,34190,759.0,859.0,0.0
647,34410,2.0,2.0,0.0
648,34420,0.0,0.0,0.0
649,34500,1.4,1.4,0.4
650,34600,319.0,589.0,0.0
651,34630,0.0,0.0,0.0
652,34640,0.0,0.0,0.0
653,34800,0.0,0.0,0.0
654,34810,0.0,0.0,0.0
655,34820,25.0,25.0,0.0
656,34830,113.0,123.0,0.0
657,34870,234.0,228.0,0.0
658,34900,257.0,276.0,0.0
659,34920,28.0,28.0,0.0
660,35000,27.0,53.0,4.2
661,35070,0.2,0.2,0.0
662,35130,42.0,57.0,3.62
663,35140,569.0,545.0,0.0
664,35300,0.0,0.0,0.0
665,35310,1.0,1.0,0.0
666,35320,0.7,0.7,0.0
667,35450,771.0,269.0,0.0
668,35460,14.0,14.0,8.72
669,35480,53.0,57.0,0.68
670,35600,0.5,0.5,0.3
671,35700,314.0,304.0,0.0
672,35720,421.0,319.0,0.0
673,35800,0.0,0.0,0.0
674,36000,160.0,160.0,0.0
675,36100,0.0,0.0,0.0
676,36130,0.0,0.0,0.0
677,36180,0.0,0.0,0.0
678,36210,0.0,0.0,0.0
679,36240,2.5,2.5,0.0
680,36300,0.0,0.0,0.0
681,36310,0.0,0.0,0.0
682,36320,0.0,0.0,0.0
683,36900,0.0,0.0,0.0
684,36910,0.0,0.0,0.0
685,37000,27.0,34.0,0.68
686,37010,0.0,0.0,0.0
687,37030,0.0,0.0,0.0
688,37100,0.0,0.0,0.0
689,37210,0.0,0.0,0.0
690,37220,0.0,0.0,0.0
691,37230,0.0,0.0,0.0
692,37240,0.0,0.0,0.0
693,37260,38.0,38.0,0.0
694,37270,0.0,0.0,0.0
695,37280,0.0,0.0,0.0
696,37300,1.0,1.0,0.0
697,37310,0.0,0.0,0.0
698,37320,0.0,0.0,0.0
699,37330,0.0,0.0,0.0
700,37340,0.0,0.0,0.0
701,37370,0.0,0.0,0.0
702,37380,0.0,0.0,0.0
703,37390,0.0,0.0,0.0
704,37400,10.0,10.0,0.0
705,37500,49.0,49.0,0.0
706,37600,31.0,31.0,1.11
707,37700,0.0,0.0,0.0
708,37800,5.0,5.0,0.0
709,37960,0.0,0.0,0.0
710,38000,0.0,0.0,0.0
711,38070,0.0,0.0,0.0
712,38080,8.9,8.9,0.0
713,38090,0.0,0.0,0.0
714,38100,0.0,0.0,0.0
715,38110,0.0,0.0,0.0
716,38120,0.0,0.0,0.0
717,38130,0.0,0.0,0.0
718,38140,0.0,0.0,0.0
719,38150,0.0,0.0,0.0
720,38160,0.0,0.0,0.0
721,38170,0.0,0.0,0.0
722,38180,0.0,0.0,0.0
723,38190,0.0,0.0,0.0
724,38210,4.0,4.0,0.05
725,38230,44.0,44.0,0.0
726,38400,93.0,49.0,0.0
727,38410,86.0,77.0,0.0
728,38420,16.0,14.0,0.0
729,38430,0.0,0.0,0.0
730,38450,1.1,1.1,0.0
731,38460,0.0,0.0,0.0
732,38490,0.0,0.0,0.0
733,38600,266.0,262.0,5.79
734,38700,73.0,108.0,3.97
735,38720,53.0,56.0,2.78
736,38740,41.0,43.0,1.54
737,39000,54.0,46.0,8.72
738,39110,0.0,0.0,0.0
739,39120,4104.0,1997.0,96.08
740,39140,2443.0,2805.0,38.73
741,39150,2145.0,2470.0,47.49
742,39190,228.0,347.0,8.65
743,39200,754.0,1502.0,0.0
744,39210,28897.0,9324.0,0.0
745,39500,1401.0,1652.0,0.0
746,39510,102.0,132.0,0.0
747,39520,28.0,39.0,2.81
748,39540,2886.0,2886.0,0.0
749,39560,0.0,0.0,0.0
750,39630,0.44999999999999996,0.44999999999999996,0.15
751,39640,0.0,0.0,0.0
752,39650,1014.0,1018.0,5.15
753,39660,1.4500000000000002,1.4500000000000002,1.25
754,39670,4.25,4.25,2.35
755,39680,1556.0,1590.0,5.23
756,39690,398.0,571.0,8.77
757,39800,154.0,222.0,12.88
758,39900,0.3,0.3,0.0
759,40100,1834.0,2894.0,73.63
760,40200,0.0,0.0,0.0
761,40210,0.0,0.0,0.0
762,40300,994.0,650.0,11.47
763,40320,0.0,0.0,0.0
764,40330,0.0,0.0,0.0
765,40340,0.0,0.0,0.0
766,40350,34.0,34.0,11.94
767,40380,135.0,210.0,0.0
768,40390,1278.0,1257.0,0.0
769,40400,248.0,338.0,0.0
770,40420,1.45,0.25,2.17
771,40500,0.0,0.0,0.0
772,40700,165.0,241.0,5.12
773,40720,53.0,53.0,0.28
774,40930,19.0,19.0,0.81
775,40950,473.0,665.0,4.06
776,40970,247.0,183.0,12.38
777,40980,337.0,519.0,0.0
778,40990,32.0,32.0,7.1
779,41000,277.0,271.0,0.0
780,41070,378.0,215.0,0.0
781,41100,256.0,254.0,5.92
782,41300,333.0,657.0,6.18
783,41400,0.0,0.0,0.0
784,41500,1108.0,1144.0,56.4
785,41600,0.0,0.0,0.0
786,41660,0.0,0.0,0.0
787,41680,0.0,0.0,0.0
788,41700,1969.0,3186.0,0.0
789,41740,540.0,540.0,0.0
790,41800,272.0,333.0,23.05
791,41900,43.0,77.0,2.32
792,42000,0.0,0.0,0.0
793,42120,112.0,128.0,0.0
794,42140,184.0,184.0,2.15
795,42170,369.0,369.0,10.97
796,42210,0.0,0.0,0.0
797,42220,0.0,0.0,0.0
798,42230,0.0,0.0,0.0
799,42500,63.0,63.0,0.38
800,42670,148.0,148.0,0.0
801,42700,2672.0,517.0,0.0
802,42810,44.0,44.0,0.0
803,42850,0.0,0.0,0.0
804,42890,0.0,0.0,0.0
805,42910,589.0,369.0,13.44
806,42920,4.25,4.25,1.55
807,42930,0.0,0.0,0.0
808,42940,0.0,0.0,0.0
809,42950,0.0,0.0,0.0
810,42960,2580.0,4888.0,50.85
811,42980,17.0,17.0,0.0
812,42990,38.0,74.0,0.0
813,43000,312.0,312.0,8.08
